,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Total Cup Points,Moisture,Color,Quakers,Total_Defects,Coffee_Grade
97,Nicaragua,Caturra,1200.0,2021,Washed / Wet,7.58,7.5,7.33,7.67,7.25,7.5,10.0,10.0,10.0,7.5,82.33,10.5,Yellow-Green,0,0,Specialty
98,Brazil,Catuai,1150.0,2020,Natural / Dry,7.5,7.42,7.25,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.33,11.5,Green,0,4,Premium
99,Mexico,Bourbon,1350.0,2020,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.58,82.25,11.3,Green,0,1,Specialty
100,Taiwan,Gesha,1000.0,2019,Natural / Dry,7.92,7.58,7.5,7.25,7.92,7.92,10.0,10.0,10.0,7.58,83.67,11.0,Green,0,0,Specialty
101,Brazil,Mundo Novo,1020.0,2021,Natural / Dry,7.58,7.75,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.58,83.58,11.0,Green,0,3,Specialty
102,Brazil,Catuai,1100.0,2020,Natural / Dry,7.67,7.75,7.58,7.5,7.83,7.58,10.0,10.0,10.0,7.67,83.58,11.5,Green,0,0,Specialty
103,Kenya,SL28,1750.0,2020,Washed / Wet,7.83,7.58,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.58,83.58,11.0,Green,0,6,Premium
104,Honduras,Catuai,1250.0,2021,Washed / Wet,7.75,7.75,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.58,10.4,Green,1,9,Exchange
105,Uganda,SL28,1700.0,2019,Washed / Wet,7.75,7.67,7.5,7.75,7.58,7.58,10.0,10.0,10.0,7.75,83.58,12.0,Green,1,4,Premium
106,El Salvador,Bourbon,1200.0,2019,Washed / Wet,7.92,7.83,7.42,7.5,7.67,7.67,10.0,10.0,10.0,7.5,83.5,11.0,Green,0,1,Specialty
107,Rwanda,Bourbon,1800.0,2020,Washed / Wet,7.83,7.58,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.5,83.5,10.0,None,11,9,Standard Grade
108,Guatemala,Bourbon,1400.0,2020,Washed / Wet,7.75,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.58,83.42,11.5,Green,0,3,Specialty
109,Uganda,SL28,1800.0,2021,Washed / Wet,7.75,7.75,7.5,7.5,7.67,7.58,10.0,10.0,10.0,7.67,83.42,11.0,Green,0,2,Specialty
110,Guatemala,Bourbon,1600.0,2021,Washed / Wet,7.5,7.83,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,11.5,Green,1,4,Premium
